sample_id,Title,Body,Category
45,Grass rings: How the spinifex got its hole,"Like many scientists, they may have also wondered why this iconic arid grass grows in striking ring shapes.Previous studies have tested whether spinifex rings could be caused by termites, water availability or nutrient depletion, but none has provided a convincing explanation.Now scientists from UNSW Sydney have found that pathogenic soil microbes play a role in how the spinifex got its hole.Their study, the first of its kind in an arid ecosystem, has been published in the Professor Angela Moles and Neil Ross from The Evolution & Ecology Research Centre tested the idea that an accumulation of pathogenic soil microbes might impede seedling emergence and subsequent growth in the centre of spinifex rings.They collected soil from inside and outside naturally occurring spinifex rings and compared plants grown in soil with live microbes to plants grown in sterilised soil.""Consistent with our hypothesis, we found that sterilising soil from the inside of spinifex rings significantly increased spinifex seedling emergence,"" Prof. Moles said.""We also found that seedings had significantly higher seedling emergence in unsterilised soil from outside the rings than in unsterilised soil from inside the rings.""Their results suggest that die-back in the centre of spinifex plants might be explained by older parts of the plant succumbing to a build-up of pathogenic soil microbes through time, where as new seedlings tend to establish more at the outside edge of the rings where there are fewer pathogens in the soil.""Most people tend to think of the beneficial effects of microbes on plant growth,"" co-author and director of UNSW Science's Evolution & Ecology Research Centre, Professor Angela Moles said.""However, sterilising soil actually makes most plants grow better. That is, the negative effects of the pathogenic microbes tend to outweigh the positive effects of the beneficial microbes.""""Overall, these results suggest that soil pathogens are quietly shaping the way the plants around us grow.""Prof. Moles said this new information helps scientists further understand the unique ecology of Australia's arid grasslands, and adds to the growing recognition of the crucial function that soil microbes play in terrestrial ecosystem processes worldwide.The scientists have recommended further study to identify the types of soil microbes involved in the establishment of arid-zone plants, as well as the different types of microbes that are most important for seedlings at different times or under different germination conditions.",Biology
46,Subpolar marginal seas play a key role in making the subarctic Pacific nutrient-rich,"Japan neighbors this ocean area, known for rich marine resources including salmon and trout. The area, located at the termination of the global ocean circulation called the ocean conveyor belt, has one of the largest biological carbon dioxide draw-downs of the world's oceans.The study, led by Hokkaido University, the University of Tokyo and Nagasaki University, showed that water rich in nitrate, phosphate and silicate -- essential chemicals for producing phytoplankton -- is pooled in the intermediate water (from several hundred meters to a thousand meters deep) in the western subarctic area, especially in the Bering Sea basin. Nutrients are uplifted from the deep ocean through the intermediate water to the surface, and then return to the intermediate nutrient pool as sinking particles through the biological production and microbial degradation of organic substances.The intermediate water mixes with dissolved iron that originates in the Okhotsk Sea and is uplifted to the surface -- pivotal processes linking the intermediate water and the surface and that maintain high surface biological productivity. This finding defies the conventional view that nutrients are simply uplifted from the deep ocean to the surface.The study relied on ocean data obtained by a research vessel that surveyed the marginal seas (the Okhotsk Sea and the Bering Sea) where, the group believed, large-scale mixture of seawater occurs due to the interaction of tidal currents with the rough topography. This voyage was made in collaboration with a Russian research team because many of the areas surveyed fall inside Russia's exclusive economic zone. The obtained data was then combined with data collected by Japanese research vessels.Analysis of the data showed that nitrate and phosphate re-produced through microbial degradation of organic substances accumulate in high concentrations in intermediate water in the entire subpolar Pacific region.The researchers also found that the vertical mixing magnitude near the Kuril Islands and the Aleutian Islands is far stronger than that in the surrounding open seas. This study demonstrated that large-scale vertical mixing in the marginal seas breaks the density stratification to mix ocean water, transporting nutrients from the intermediate water to the surface.""Our findings should help deepen understanding about the circulation of carbon and nutrients in the ocean and ecological changes caused by climate change,"" says Associate Professor Jun Nishioka of Hokkaido University, who led the study.",Geography
47,Genetic map reveals heat tolerance traits in peas,"But as the global climate changes and temperatures continue to rise, heat stress is becoming a major limiting factor for pea cultivation.A new study indicates that pea plants with some specific traits -- such as longer flowering time and higher pod numbers -- may be more resistant to heat stress.The researchers also gained new insights into the genetics of heat tolerance in pea.""In some years, the older varieties of pea weren't growing very well because of heat stress,"" says Rosalind Bueckert, lead author of the study. ""We wanted to find new varieties that have robust and consistent yields in a warming world.""According to Bueckert, a plant scientist at the University of Saskatchewan, ""tolerance to heat stress in peas seems to be dependent on quite a few traits."" The study found that two traits, however, are most important: higher pod numbers and longer flowering duration.Bueckert and her colleagues Tom Warkentin and Shaoming Huang are the first to uncover the location of genes that affect heat stress.""Heat stress means fewer flowers, fewer pods, and ultimately, lower yields,"" says Bueckert. Varieties of pea that have more pods to begin with have higher yields after a heat-stress event.Similarly, ""if a pea variety flowers for a longer time, it has more opportunities to have a higher yield, even under heat stress,"" says Bueckert. That's because the plant has more time to recover from extreme weather events during flowering.But too long of a flowering time can lead to other problems. ""You need the right balance of the vegetative and reproductive phases,"" says Bueckert.To determine which traits are important for heat resistance in peas, Bueckert and her colleagues crossed two commonly used varieties of pea, CDC Centennial and CDC Sage. Then the researchers evaluated more than a hundred new varieties of pea derived from this cross.""By crossing two different varieties of pea, you may be able to breed offspring with traits beyond those of either parent,"" says Bueckert. For example, some of the offspring tested in this study were more heat-resistant than either CDC Sage or CDC Centennial.The researchers cultivated these new varieties of pea for two growing seasons in Saskatchewan.One batch was seeded at a typical time for pea cultivation, mid-May. A second batch was started in early June. These plants flowered later in the year when temperatures are higher. This allowed the researchers to test for pea varieties that grew better and had higher yields in warmer weather.""Identifying traits that make pea plants more resistant to heat stress is one piece of the puzzle,"" says Bueckert. The other piece is better understanding the genetics of these traits.Traditionally, researchers used visible traits, such as pod number, to select crop varieties that grow well in specific environments. However, mapping out the pertinent genetic information helps focus the work. Researchers can identify specific genetic locations for a trait within the pea's genetic map. From there, researchers can more reliably select crop varieties.""The more work we can do with genetic locations and molecular techniques, the more efficient we will be,"" says Bueckert.While flowering duration and pod number are the two most important traits for heat resistance in peas, the researchers are also examining other traits that can contribute. For example, ""semi-leafless varieties of pea are better at dealing with heat stress than leafy varieties,"" says Bueckert.Future research will aim to identify more of these traits, and further increase our understanding of the genetic basis of heat resistance in peas.",Weather
48,Improved risk management for geothermal systems,"In a new study now published in In the project, a traffic-light-style system involving near-realtime seismic monitoring allowed active feedback and guidelines to the stimulation engineers on how to adjust pumping rates and pressure at the injection. Professor Georg Dresen, head of the Geomechanics group at GFZ states: ""This feedback in near real-time was the key to success and allowed to deepen the understanding of the reservoir seismic response and the hydraulic energy release at depth, while ensuring promptness in the technical response to increased seismic activity."" This allowed immediate adjustment of the reservoir treatment through mitigating injection-rate and duration of resting periods that were applied in the course of the months-long experiment and ensured the successful control of maximum observed magnitude of the induced seismic events.""While the quantitative results successfully applied here to avoid larger seismic events are not directly transferrable to other tectonic settings, the methodology and concept we developed in our study can be useful to other EGS projects to limit the seismic risk and derive ad-hoc stimulation strategies,"" says Grzegorz Kwiatek. The St1 Deep Heat Oy energy project is now approved for further advancement and after completion of a second well will move on to implementation of a fully functional geothermal plant for local heat provision.",Earthquakes
49,"Study connects diabetes, air pollution to interstitial lung disease","""Our findings are especially important today as we're in the midst of the COVID-19 pandemic, where we have great concern regarding the convergence of health effects from air pollution and SARS-CoV-2 in susceptible populations like people with diabetes,"" said James Wagner, lead author and associate professor for the MSU College of Veterinary Medicine's Department of Pathobiology and Diagnostic Investigation.Ozone -- a gas often referred to as ""smog"" -- is known to exacerbate certain lung diseases, such as asthma and rhinitis, which are primarily upper airway diseases. But recent epidemiology (Johannson et al. and Sesé et al.) suggests an association between high ozone concentrations and adverse health effects in the deep lung, which cause difficulty breathing due to lung restriction and stiffness.""More than 170,000 people in the U.S. suffer from interstitial lung disease. Furthermore, type 2 diabetes and insulin resistance are recently suggested risk factors for developing pulmonary fibrosis,"" said Jack Harkema, University Distinguished Professor, Albert C. and Lois E. Dehn Endowed Chair in Veterinary Medicine, and director of the Laboratory for Environmental and Toxicologic Pathology and the Mobile Air Research Laboratories at MSU.In the study, Wagner, Harkema and their collaborators, Robert Tighe and Christina Barkauskas from Duke University's Department of Medicine, studied healthy mice, mice with mild insulin resistance and mice with marked insulin resistance. The study found a direct relationship between insulin resistance levels and the severity of lung inflammation and scarring (fibrosis); diabetes-prone mice were particularly susceptible to inflammation and tissue remodeling caused by repeated ozone exposure.""Evidence suggests that ozone exposure could exacerbate pulmonary fibrosis, particularly in individuals that are diabetic,"" said Tighe, a pulmonologist who specializes in interstitial disease at Duke. ""Poorly controlled diabetes, in particular, may be an important co-morbidity for worsened lung damage.""According to Wagner, these findings are of critical importance for public health.""Our results propose a causal link for ozone exposure to preferentially promote early pulmonary fibrosis and interstitial lung disease in pre-diabetic mice. We only exposed these mice for three weeks, but there are millions of people living in cities like Los Angeles and New York who are exposed to high levels of ozone day after day,"" he said. ""Then, you must consider the prevalence of pre-diabetes people -- approximately 33% in this country. Our study results suggest that people who are borderline insulin resistant -- or diabetic -- and living in areas with high levels of ozone pollution might be at an increased risk for developing interstitial lung disease.""This study is just the latest in Wagner and Harkema's research efforts, which describe pre-diabetes as a risk factor for multiple possible adverse responses to air pollution. Wagner has previously shown deleterious effects on heart rate, blood pressure, and adipose tissue inflammation in pre-diabetic rodents that were exposed to ozone (Wagner et al. and Zhong et al.).The authors believe this study is the first of its kind, as it describes exacerbated pulmonary inflammation and remodeling due to repetitive, short-term ozone exposures in insulin-resistant rodents that also exhibit other manifestations of type 2 diabetes. The work was supported in large part by the researchers' grant from the Environmental Protection Agency's Great Lakes Air Center for Integrative Environmental Research (GLACIER) at MSU. For more information about this research, contact Dr. James Wagner.",Pollution
50,Gene may help reduce GM contamination,"This is believed to be the first-ever study to identify a gene involved in altering fruit trees that normally cross-pollinate -- needing one plant to fertilize another -- into self-pollinators, said Sherif.The paper was published recently in the journal Sherif said researchers might one day insert this gene into GM crops to prevent their pollen from reaching other plants.Plant agriculture professor Jay Subramanian, Sherif's PhD supervisor and a co-author on the paper, said: ""There are a lot of transgenic crops worldwide. There is concern about pollen from them being able to fertilize something in the wild population, thus creating 'super weeds.'""The researchers found a gene making a protein that naturally allows a small handful of plants to self-pollinate and make fruit before the flower opens. Peaches, for example, have closed flowers, unlike their showy-flowered plum and cherry cousins that need pollen from another tree to fertilize and set fruit.Subramanian studies tree fruits at the Vineland Research and Innovation Centre in Vineland, Ont. Sherif worked with him on studies of plant responses to stresses such as drought or disease.Other co-authors on the paper are Guelph professors Jaideep Mathur, Department of Molecular and Cellular Biology and Gopi Paliyath, Department of Plant Agiruclture, along with Islam El-Sharkawy, a former research associate with Subramanian; and colleagues at the National University of Singapore.Besides aiding crop farmers and food producers, their discovery might be a boon to perfume-makers, said Subramanian.Used in fragrant perennials such as jasmine, the gene might keep flowers closed and allow growers to collect more of the aromatic compounds prized by perfume-makers. ""That's when volatile compounds are peaking,"" said Subramanian. ""When the flower opens, you lose almost 80 per cent of those volatiles.""Most plants develop open flowers to attract pollinators, but it takes energy to make flowers as well as nectar and pollen. Subramanian said plants with closed flowers -- called cleistogamous, or Greek for ""closed marriage"" -- might have developed in environments lacking pollinators or under adverse conditions.""This is the first time we know of that someone has shown that, using molecular tools, you can induce cleistogamy in plants,"" he said.",Genetically Modified
51,Malaria devastated humans far earlier than expected,"Lead author Dr Melandri Vlok from the Department of Anatomy, University of Otago, says this ground-breaking research, published today in ""Until now we've believed malaria became a global threat to humans when we turned to farming, but our research shows in at least Southeast Asia this disease was a threat to human groups well before that.""This research providing a new cornerstone of malaria's evolution with humans is a great achievement by the entire team,"" Dr Vlok says.Still a serious health issue, as recently as 2019 the World Health Organization reported an estimated 229 million cases of malaria around the world, with 67 per cent of malaria deaths in children under the age of 5 years.While malaria is invisible in the archaeological record, the disease has changed the evolutionary history of human groups causing consequences visible in prehistoric skeletons. Certain genetic mutations can lead to the inheritance of Thalassemia, a devasting genetic disease that in its milder form provides some protection against malaria.Deep in humanity's past, the genes for malaria became more common in Southeast Asia and the Pacific where it remains a threat, but up until now the origin of malaria has not been pinpointed. This research has identified thalassemia in an ancient hunter-gatherer archaeological site from Vietnam dated to approximately 7000 years ago, thousands of years before the transition to farming in the region.In some parts of the world, slashing and burning in agricultural practice would have created pools of stagnant water attracting mosquitos carrying malaria, but in Southeast Asia these mosquitos are common forest dwellers exposing humans to the disease long before agriculture was adopted.The study Forager and farmer evolutionary adaptations to malaria evidenced by 7000 years of thalassemia in Southeast Asia is a result of combined efforts from years of investigation by a team of researchers led by Professor Marc Oxenham (currently at the University of Aberdeen) and including researchers from University of Otago, the Australian National University (ANU), James Cook University, Vietnam Institute of Archaeology and Sapporo Medical University.The research is the first of its kind to use microscopic techniques to investigate changes in bone tissue to identify thalassemia. In 2015, Professor Hallie Buckley from the University of Otago noticed changes in the bone of hunter-gatherers that made her suspicious that thalassemia might be the cause, but the bones were too poorly preserved to be certain. Professor Buckley called in microscopic bone expert Dr Justyna Miszkiewicz of ANU to investigate. Under the microscope, the ancient samples from Vietnam showed evidence for abnormal porosity mirroring modern-day bone loss complications in thalassemic patients.At the same time, Dr Vlok, completing her doctoral research in Vietnam, found changes in the bones excavated in a 4000-year-old agricultural site in the same region as the 7000-year-old hunter-gatherer site. The combined research suggests a long history of evolutionary changes to malaria in Southeast Asia which continues today.""A lot of pieces came together, then there was a startling moment of realisation that malaria was present and problematic for these people all those years ago, and a lot earlier than we've known about until now,"" Dr Vlok adds.",Agriculture & Food
52,Scientists Find Ozone-Destroying Molecule,"Analysis of these measurements was conducted using a computer simulation of atmospheric chemistry developed by scientists at NASA's Jet Propulsion Laboratory, Pasadena, Calif. The common name atmospheric scientists use for the molecule is ""chlorine monoxide dimer"" since it is made up of two identical chlorine-based molecules of chlorine monoxide, bonded together. The dimer has been created and detected in the laboratory; in the atmosphere it is thought to exist only in the particularly cold stratosphere over polar regions when chlorine monoxide levels are relatively high. ""We knew, from observations dating from 1987, that the high ozone loss was linked with high levels of chlorine monoxide, but we had never actually detected the chlorine peroxide before,"" said Harvard scientist and lead author of the paper, Dr. Rick Stimpfle. The atmospheric abundance of chlorine peroxide was quantified using a novel arrangement of an ultraviolet, resonance fluorescence-detection instrument that had previously been used to quantify levels of chlorine monoxide in the Antarctic and Arctic stratosphere. ""We've observed chlorine monoxide in the Arctic and Antarctic for years and from that inferred that this dimer molecule must exist and it must exist in large quantities, but until now we had never been able to see it,"" said Dr. Ross Salawitch, a co-author on the paper and a researcher at JPL. Chlorine monoxide and its dimer originate primarily from halocarbons, molecules created by humans for industrial uses like refrigeration. Use of halocarbons has been banned by the Montreal Protocol, but they persist in the atmosphere for decades. ""Most of the chlorine in the stratosphere continues to come from human-induced sources,"" Stimpfle added. Chlorine peroxide triggers ozone destruction when the molecule absorbs sunlight and breaks into two chlorine atoms and an oxygen molecule. Free chlorine atoms are highly reactive with ozone molecules, thereby breaking them up, and reducing ozone. Within the process of breaking down ozone, chlorine peroxide forms again, restarting the process of ozone destruction. ""You are now back to where you started with respect to the chlorine peroxide molecule,"" Stimpfle concluded. ""But in the process you have converted two ozone molecules into three oxygen molecules. This is the definition of ozone loss."" ""Direct measurements of chlorine peroxide enable us to better quantify ozone loss processes that occur in the polar winter stratosphere,"" said Mike Kurylo, NASA Upper Atmosphere Research Program manager, NASA Headquarters, Washington. ""By integrating our knowledge about chemistry over the polar regions, which we get from aircraft-based in-situ measurements, with the global pictures of ozone and other atmospheric molecules, which we get from research satellites, NASA can improve the models that scientists use to forecast the future evolution of ozone amounts and how they will respond to the decreasing atmospheric levels of halocarbons, resulting from the implementation of the Montreal Protocol,"" Kurylo added. These results were acquired during a joint U.S.-European science mission, the Stratospheric Aerosol and Gas Experiment III Ozone Loss and Validation Experiment/Third European Stratospheric Experiment on Ozone 2000. The mission was conducted in Kiruna, Sweden, from November 1999 to March 2000. During the campaign, scientists used computer models for stratospheric meteorology and chemistry to direct the Earth Resources- 2 aircraft to the regions of the atmosphere where chlorine peroxide was expected to be present. The flexibility of the Earth Resources-2 enabled these interesting regions of the atmosphere to be sampled. For information and images on the Internet, visit: JPL is managed for NASA by the California Institute of Technology in Pasadena.",Ozone Holes
53,Drones that patrol forests could monitor environmental and ecological changes,"However, placing these sensors can prove difficult in large, tall forests, and climbing trees to place them poses its own risks.Now, researchers at Imperial College London's Aerial Robotics Laboratory have developed drones that can shoot sensor-containing darts onto trees several metres away in cluttered environments like forests. The drones can also place sensors through contact or by perching on tree branches.The researchers hope the drones will be used in future to create networks of sensors to boost data on forest ecosystems, and to track hard-to-navigate biomes like the Amazon rainforest.Lead researcher Professor Mirko Kovac, director of the Aerial Robotics Lab from the Department of Aeronautics at Imperial said: ""Monitoring forest ecosystems can be difficult, but our drones could deploy whole networks of sensors to boost the amount and precision of environmental and ecological data.""I like to think of them as artificial forest inhabitants who will soon watch over the ecosystem and provide the data we need to protect the environment.""The drones are equipped with cameras to help identify suitable targets, and a smart material that changes shape when heated to launch the darts, which then stick to the trees. They can also perch on tree branches like birds to collect data themselves, acting as mobile sensors.The researchers have tested their drones at the Swiss Federal Laboratories for Materials Science and Technology (EMPA) and on trees at Imperial's Silwood Park Campus.The drones are currently controlled by people: using control units, the researchers watch through the camera lens to select target trees and shoot the darts. The next step is to make the drones autonomous, so that researchers can test how they fare in denser forest environments without human guidance.Co-author Andre Farhina, of the Department of Aeronautics, said: ""There are plenty of challenges to be addressed before the drones can be regularly used in forests, like achieving a careful balance between human input and automated tasks so that they can be used safely while remaining adaptable to unpredictable environments.""Co-author Dr Salua Hamaza, also of the Department of Aeronautics, said: ""We aim to introduce new design and control strategies to allow drones to effectively operate in forested environments. Exploiting smart mechanisms and new sensing techniques we can off-load the on-board computation, and create platforms that are energy-efficient and better performing.""",Environment
54,Identification of three genes that determine the stemness of gastric tissue stem cells,"The research team investigated the intracellular molecular mechanisms for Wnt signaling-dependent regulation of proliferation and self-renewal of gastric tissue stem cells by using organoids*4) established from mice. These enabled visualization of Lgr5+ gastric tissue stem cells. Further, screening using Genome-Scale CRISPR Knock-Out (GeCKO)*5), which can arbitrarily produce loss-of-function of various genes, allowed the elucidation of molecular mechanisms regulating the Wnt signaling-dependence of gastric tissue stem cells. The team revealed that loss-of-function of The present study has elucidated previously unknown molecular mechanisms regulating the self-renewal and differentiation of tissue stem cells, which play roles in tissue homeostasis and recovery from damage. Similar molecular mechanisms may exist and function in other tissue stem cells, since Wnt signaling is widely activated in various stem cells regardless of their developmental stages. It is expected that treatments for tissue damage, not only of the digestive tract but also in liver, kidney and pancreas, should become possible if regulation of the self-renewal and differentiation of stem cells via the regulatory mechanisms described above could be verified in other tissues. The results of the present study provide new insights and technical approaches in stem cell research and are expected to stimulate innovation in the field of regenerative medicine and cancer treatment in the future.",Biology
55,Researchers identify five types of cat owner,"University of Exeter researchers surveyed UK cat owners and found they ranged from ""conscientious caretakers"" concerned about cats' impact on wildlife and who feel some responsibility, to ""freedom defenders"" who opposed restrictions on cat behaviour altogether.""Concerned protectors"" focussed on cat safety, ""tolerant guardians"" disliked their cats hunting but tended to accept it, and ""laissez-faire landlords"" were largely unaware of any issues around cats roaming and hunting.Conservation organisations have long been concerned about the numbers of animals caught by the UK's large population of domestic cats.Most pet cats kill very few wild animals, if any, but with a population of around 10 million cats, the numbers of birds, small mammals and reptiles taken can accumulate.Apart from their role as ""mousers,"" most owners find the dead animals brought home an unpleasant reminder of their pet's wilder side.Addressing this problem has been difficult because of disagreements between people prioritising cat welfare and those focusing on wildlife conservation.The Exeter team's ongoing research project ""Cats, Cat Owners and Wildlife"" aims to find a conservation win-win, by identifying ways of owners managing their cats that benefit the cats as well as reducing wildlife killing.This research is a step towards understanding how cat owners view their cats and how best to manage them.The researchers say their findings demonstrate the need for diverse management strategies that reflect the differing perspectives of cat owners.""Although we found a range of views, most UK cat owners valued outdoor access for their cats and opposed the idea of keeping them inside to prevent hunting,"" said lead author Dr Sarah Crowley, of the University of Exeter's Environment and Sustainability Institute in Cornwall.""Cat confinement policies are therefore unlikely to find support among owners in the UK.""However, only one of the owner types viewed hunting as a positive, suggesting the rest might be interested in reducing it by some means.""To be most effective, efforts to reduce hunting must be compatible with owners' diverse circumstances.""Suggested measures to reduce hunting success include fitting cats with brightly coloured ""BirdsBeSafe"" collar covers. Many owners also fit their cats with bells.The research team are now examining the effectiveness of these and other new measures and how owners feel about them, with a view to offering different solutions.""This latest research we have funded reveals the incredibly diverse perspectives amongst cat owners in regard to their pets' hunting behaviour,"" said Tom Streeter, Chairman of SongBird Survival.""If nature is to 'win' and endangered species thrive, a pragmatic approach is needed whereby cat owners' views are considered as part of wider conservation strategies.""The study highlights the urgent need for cat owners and conservationists to work together to find tailored solutions that are cheap, easy to implement, and have a positive effect on wildlife and bird populations across the UK.""iCatCare's Head of Cat Advocacy, Dr Sarah Ellis, said: ""The finding that many UK cat owners actually care a great deal about wildlife conservation and their cats' impact on it, suggests that some owners are receptive to employing cat-friendly ways of reducing hunting.""The right interventions could improve wildlife conservation efforts, maintain good cat mental-wellbeing, and at the same time improve the cat-human relationship.""This would be especially true for 'tolerant guardians' and 'conscientious caretakers', by reducing the internal conflict of loving an animal that often hunts other animals they also care about.""The study included 56 cat owners, some from rural parts of the UK (mostly in south-west England) and some from urban areas (Bristol and Manchester).The paper, published in the journal Alongside the detailed research survey, the researchers have created a simple quiz so cat owners can find out which category bests describes them.",Animals
56,Towards a worldwide inventory of all plants,"It is over 200 years since Alexander von Humboldt started investigating the striking differences in plant diversity, and for a long time research progress has been limited by data availability. In recent times, the sheer number of known species and complex multiple facets of biodiversity, such as species richness, functional plant characteristics and relatedness, has overwhelmed efforts to bring all this data together. The researchers had to collect and standardise huge amounts of information from hundreds of published checklists and numerous unpublished regional inventories. For the first time, GIFT collates information about the plant species composition in nearly 2,900 regions including islands and protected areas. The data already covers about 79 percent of the global land surface and includes 80 percent (over 315,000 species) of all plant species known to science. The GIFT database links plant species to their geographic distribution, structural characteristics and to modern reconstructions of their evolutionary relationships, as well as to geographic, climatic and socio-economic characteristics of the regions.""GIFT allows researchers, for the first time, to analyse near complete patterns of global plant diversity and regional species composition along with past and present effects,"" says Head of Department, Professor Holger Kreft. ""Given the recent warnings about the devastating impact of humans on nature, for instance by the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES), and an increasing public awareness about climate change and its consequences, the publication of GIFT is a vital contribution to the field,"" says Dr Patrick Weigelt, lead author. ""We envision data from GIFT to serve as a baseline to assess changes in plant diversity due to climate change, habitat alteration or introduced invasive species from a local right up to a global scale.""",Endangered Animals
57,Reflecting sunlight to cool the planet will cause other global changes,"Some researchers are exploring proposals to engineer similar effects, for example by launching reflective aerosols into the stratosphere -- via planes, balloons, and even blimps -- in order to block the sun's heat and counteract global warming. But such solar geoengineering schemes, as they are known, could have other long-lasting effects on the climate.Now scientists at MIT have found that solar geoengineering would significantly change extratropical storm tracks -- the zones in the middle and high latitudes where storms form year-round and are steered by the jet stream across the oceans and land. Extratropical storm tracks give rise to extratropical cyclones, and not their tropical cousins, hurricanes. The strength of extratropical storm tracks determines the severity and frequency of storms such as nor'easters in the United States.The team considered an idealized scenario in which solar radiation was reflected enough to offset the warming that would occur if carbon dioxide were to quadruple in concentration. In a number of global climate models under this scenario, the strength of storm tracks in both the northern and southern hemispheres weakened significantly in response.Weakened storm tracks would mean less powerful winter storms, but the team cautions that weaker storm tracks also lead to stagnant conditions, particularly in summer, and less wind to clear away air pollution. Changes in winds could also affect the circulation of ocean waters and, in turn, the stability of ice sheets.""About half the world's population lives in the extratropical regions where storm tracks dominate weather,"" says Charles Gertler, a graduate student in MIT's Department of Earth, Atmospheric and Planetary Sciences (EAPS). ""Our results show that solar geoengineering will not simply reverse climate change. Instead, it has the potential itself to induce novel changes in climate.""Gertler and his colleagues have published their results this week in the journal Geophysical Research Letters. Co-authors include EAPS Professor Paul O'Gorman, along with Ben Kravitz of Indiana State University, John Moore of Beijing Normal University, Steven Phipps of the University of Tasmania, and Shingo Watanabe of the Japan Agency for Marine-Earth Science and TechnologyScientists have previously modeled what Earth's climate might look like if solar geoengineering scenarios were to play out on a global scale, with mixed results. On the one hand, spraying aerosols into the stratosphere would reduce incoming solar heat and, to a degree, counteract the warming caused by carbon dioxide emissions. On the other hand, such cooling of the planet would not prevent other greenhouse gas-induced effects such as regional reductions in rainfall and ocean acidification.There have also been signs that intentionally reducing solar radiation would shrink the temperature difference between the Earth's equator and poles or, in climate parlance, weaken the planet's meridional temperature gradient, cooling the equator while the poles continue to warm. This last consequence was especially intriguing to Gertler and O'Gorman.""Storm tracks feed off of meridional temperature gradients, and storm tracks are interesting because they help us to understand weather extremes,"" Gertler says. ""So we were interested in how geoengineering affects storm tracks.""The team looked at how extratropical storm tracks might change under a scenario of solar geoengineering known to climate scientists as experiment G1 of the Geoengineering Model Intercomparison Project (GeoMIP), a project that provides various geoengineering scenarios for scientists to run on climate models to assess their various climate effects.The G1 experiment assumes an idealized scenario in which a solar geoengineering scheme blocks enough solar radiation to counterbalance the warming that would occur if carbon dioxide concentrations were to quadruple.The researchers used results from various climate models run forward in time under the conditions of the G1 experiment. They also used results from a more sophisticated geoengineering scenario with doubling of carbon dioxide concentrations and aerosols injected into the stratosphere at more than one latitude. In each model they recorded the day-to-day change in air pressure at sea level pressure at various locations along the storm tracks. These changes reflect the passage of storms and measure a storm track's energy.""If we look at the variance in sea level pressure, we have a sense of how often and how strongly cyclones pass over each area,"" Gertler explains. ""We then average the variance across the whole extratropical region, to get an average value of storm track strength for the northern and southern hemispheres.""Their results, across climate models, showed that solar geoengineering would weaken storm tracks in both Northern and Southern hemispheres. Depending on the scenario they considered, the storm track in the Northern Hemisphere would be 5 to 17 percent weaker than it is today.""A weakened storm track, in both hemispheres, would mean weaker winter storms but also lead to more stagnant weather, which could affect heat waves,"" Gertler says. ""Across all seasons, this could affect ventilation of air pollution. It also may contribute to a weakening of the hydrological cycle, with regional reductions in rainfall. These are not good changes, compared to a baseline climate that we are used to.""The researchers were curious to see how the same storm tracks would respond to just global warming alone, without the addition of social geoengineering, so they ran the climate models again under several warming-only scenarios. Surprisingly, they found that, in the northern hemisphere, global warming would also weaken storm tracks, by the same magnitude as with the addition of solar geoengineering. This suggests solar geoengineering, and efforts to cool the Earth by reducing incoming heat, would not do much to alter global warming's effects, at least on storm tracks -- a puzzling outcome that the researchers are unsure how to explain.In the Southern Hemisphere, there is a slightly different story. They found that global warming alone would strengthen storm tracks there, whereas the addition of solar geoengineering would prevent this strengthening, and even further, would weaken the storm tracks there.""In the Southern Hemisphere, winds drive ocean circulation, which in turn could affect uptake of carbon dioxide, and the stability of the Antarctic ice sheet,"" O'Gorman adds. ""So how storm tracks change over the Southern Hemisphere is quite important.""The team also observed that the weakening of storm tracks was strongly correlated with changes in temperature and humidity. Specifically, the climate models showed that in response to reduced incoming solar radiation, the equator cooled significantly as the poles continued to warm. This reduced temperature gradient appears to be sufficient to explain the weakening storm tracks -- a result that the group is the first to demonstrate.""This work highlights that solar geoengineering is not reversing climate change, but is substituting one unprecedented climate state for another,"" Gertler says. ""Reflecting sunlight isn't a perfect counterbalance to the greenhouse effect.""Adds O'Gorman: ""There are multiple reasons to avoid doing this, and instead to favor reducing emissions of COThis research was funded, in part, by the National Science Foundation, NASA, and the Industry and Foundation sponsors of the MIT Joint Program on the Science and Policy of Global Change.",Pollution
